
================================================================================
Started Logging:     25.09.2024  13:26
Quantum Version:     Not available
================================================================================

25.09.2024 13:26:21 QC-Terminal: Serial port COM2

25.09.2024 13:26:28 QC-Terminal: Serial port COM3
help

WAR 08:47:37:611  01 Access_Para PG not mapped
WAR 08:47:37:672  01 Access_Para PG not mapped
WAR 08:47:37:731  01 Access_Para PG not mapped
WAR 08:47:37:791  01 Access_Para PG not mapped
WAR 08:47:37:852  01 Access_Para PG not mapped
WAR 08:47:37:957  01 Access_Para PG not mapped
WAR 08:47:38:017  01 Access_Para PG not mapped
WAR 08:47:38:122  01 Access_Para PG not mapped
WAR 08:47:38:182  01 Access_Para PG not mapped
WAR 08:47:38:287  01 Access_Para PG not mapped
WAR 08:47:38:347  01 Access_Para PG not mapped
WAR 08:47:38:451  01 Access_Para PG not mapped
WAR 08:47:38:512  01 Access_Para PG not mapped
WAR 08:47:38:617  01 Access_Para PG not mapped
WAR 08:47:38:677  01 Access_Para PG not mapped
WAR 08:47:38:781  01 Access_Para PG not mapped
WAR 08:47:38:842  01 Access_Para PG not mapped
WAR 08:47:38:947  01 Access_Para PG not mapped
WAR 08:47:39:007  01 Access_Para PG not mapped
WAR 08:47:39:112  01 Access_Para PG not mapped
WAR 08:47:39:172  01 Access_Para PG not mapped
WAR 08:47:39:277  01 Access_Para PG not mapped
WAR 08:47:39:337  01 Access_Para PG not mapped
WAR 08:47:39:441  01 Access_Para PG not mapped
WAR 08:47:39:502  01 Access_Para PG not mapped
WAR 08:47:39:607  01 Access_Para PG not mapped
WAR 08:47:39:667  01 Access_Para PG not mapped
WAR 08:47:39:772  01 Access_Para PG not mapped
WAR 08:47:39:831  01 Access_Para PG not mapped
WAR 08:47:39:891  01 Access_Para PG not mapped
WAR 08:47:39:952  01 Access_Para PG not mapped
WAR 08:47:40:011  01 Access_Para PG not mapped
WAR 08:47:40:072  01 Access_Para PG not mapped
WAR 08:47:40:131  01 Access_Para PG not mapped
WAR 08:47:40:191  01 Access_Para PG not mapped
WAR 08:47:40:251  01 Access_Para PG not mapped
WAR 08:47:40:312  01 Access_Para PG not mapped
WAR 08:47:40:372  01 Access_Para PG not mapped
WAR 08:47:40:431  01 Access_Para PG not mapped
WAR 08:47:40:491  01 Access_Para PG not mapped
WAR 08:47:40:551  01 Access_Para PG not mapped
WAR 08:47:40:611  01 Access_Para PG not mapped
WAR 08:47:40:672  01 Access_Para PG not mapped
